unique_id,adjpoll_clinton,adjpoll_trump,handle,fecha,index_weighted
2016102_Clinton vs. Trump,44.76201487179487,42.17916230769231,Clinton vs. Trump,2016-10-02,0.9852915224914882
20161030_Clinton vs. Trump,43.41454205426356,42.30500258527132,Clinton vs. Trump,2016-10-30,19.60358725920456
20161031_Clinton vs. Trump,41.573254691358024,41.696260070987655,Clinton vs. Trump,2016-10-31,30.385592750189904
2016103_Clinton vs. Trump,44.49629230769231,41.00572235897436,Clinton vs. Trump,2016-10-03,0.25862769045356176
2016104_Clinton vs. Trump,45.16873844444444,42.49260155555555,Clinton vs. Trump,2016-10-04,0.530644701480359
2016105_Clinton vs. Trump,44.57136696969697,42.63155727272727,Clinton vs. Trump,2016-10-05,0.32190854033514327
2016106_Clinton vs. Trump,42.345119726775955,43.20478191256831,Clinton vs. Trump,2016-10-06,0.6729384458127187
2016107_Clinton vs. Trump,45.129355238095236,41.89201571428572,Clinton vs. Trump,2016-10-07,0.3102252790820207
2016108_Clinton vs. Trump,44.54029722222222,41.98508,Clinton vs. Trump,2016-10-08,0.03660343261377215
2016109_Clinton vs. Trump,42.91898068627451,41.85680352941177,Clinton vs. Trump,2016-10-09,0.5215502916635967
2016110_Clinton vs. Trump,42.54113,43.22254833333333,Clinton vs. Trump,2016-01-10,3.243880400761889e-06
2016111_Clinton vs. Trump,40.9615,34.134980000000006,Clinton vs. Trump,2016-11-01,2.479776720416188e-09
2016112_Clinton vs. Trump,38.28806,49.79203666666667,Clinton vs. Trump,2016-11-02,2.8663011232177687e-06
2016113_Clinton vs. Trump,45.71399666666667,39.103946666666666,Clinton vs. Trump,2016-11-03,2.2706011875930453e-07
2016114_Clinton vs. Trump,41.34534,35.704683333333335,Clinton vs. Trump,2016-11-04,3.11957617560237e-09
2016115_Clinton vs. Trump,41.539323333333336,36.42837,Clinton vs. Trump,2016-11-05,3.424280370915402e-09
2016116_Clinton vs. Trump,42.53500666666667,35.051186666666666,Clinton vs. Trump,2016-11-06,3.5017248639030467e-09
2016117_Clinton vs. Trump,43.44609,39.605873333333335,Clinton vs. Trump,2016-11-07,1.5525726716436598e-08
2016118_Clinton vs. Trump,43.78279333333333,40.879312222222225,Clinton vs. Trump,2016-11-08,6.572751457392669e-07
2016119_Clinton vs. Trump,40.43690333333333,40.90974833333333,Clinton vs. Trump,2016-11-09,3.632033429545345e-09
201611_Clinton vs. Trump,35.90445333333333,39.98701333333333,Clinton vs. Trump,2016-01-01,6.213232634059519e-11
2016120_Clinton vs. Trump,41.23672333333334,41.56694666666667,Clinton vs. Trump,2016-01-20,2.2767599036525773e-06
2016121_Clinton vs. Trump,39.51153,39.47201333333334,Clinton vs. Trump,2016-12-01,3.914743508027681e-09
2016122_Clinton vs. Trump,39.103586666666665,40.497456666666665,Clinton vs. Trump,2016-12-02,4.1392900987695305e-09
2016123_Clinton vs. Trump,40.39622666666667,39.32158333333333,Clinton vs. Trump,2016-12-03,4.187010268827672e-09
2016124_Clinton vs. Trump,45.28850083333333,41.1487975,Clinton vs. Trump,2016-12-04,4.6723518237458167e-07
2016125_Clinton vs. Trump,44.27950666666666,34.27171,Clinton vs. Trump,2016-12-05,4.8315960932237035e-09
2016126_Clinton vs. Trump,44.73853,37.52022777777778,Clinton vs. Trump,2016-12-06,1.3974673125669925e-07
2016127_Clinton vs. Trump,43.966853333333326,34.922356666666666,Clinton vs. Trump,2016-12-07,5.7660706415495075e-09
2016128_Clinton vs. Trump,42.85993,35.847096666666665,Clinton vs. Trump,2016-12-08,6.172025094512075e-09
2016129_Clinton vs. Trump,43.55186666666666,36.07129333333333,Clinton vs. Trump,2016-12-09,7.764317109315894e-09
201612_Clinton vs. Trump,41.40015,34.71246,Clinton vs. Trump,2016-01-02,2.742575386714522e-10
2016130_Clinton vs. Trump,44.244476666666664,35.394693333333336,Clinton vs. Trump,2016-01-30,8.732295152069848e-09
2016131_Clinton vs. Trump,44.435366666666674,35.31899333333333,Clinton vs. Trump,2016-01-31,9.208664788164006e-09
201613_Clinton vs. Trump,40.49585,34.23791,Clinton vs. Trump,2016-01-03,7.445872586208148e-10
201614_Clinton vs. Trump,40.69155,34.66335333333333,Clinton vs. Trump,2016-01-04,1.6273470006557967e-09
201615_Clinton vs. Trump,39.68725333333333,35.48881,Clinton vs. Trump,2016-01-05,2.525778986153053e-09
201616_Clinton vs. Trump,43.59626333333333,35.41275666666667,Clinton vs. Trump,2016-01-06,2.684927124931642e-09
201617_Clinton vs. Trump,42.49967083333333,43.0379025,Clinton vs. Trump,2016-01-07,2.273699817544385e-07
201618_Clinton vs. Trump,39.074243333333335,37.26427666666667,Clinton vs. Trump,2016-01-08,2.6767154841404285e-09
201619_Clinton vs. Trump,38.981405,32.510905,Clinton vs. Trump,2016-01-09,1.6136269374464908e-06
2016210_Clinton vs. Trump,42.86702666666667,36.13791666666666,Clinton vs. Trump,2016-02-10,9.741418602044907e-09
2016211_Clinton vs. Trump,41.35895,36.76307333333333,Clinton vs. Trump,2016-02-11,9.876598196733532e-09
2016212_Clinton vs. Trump,40.85236,37.583843333333334,Clinton vs. Trump,2016-02-12,1.0365997454012332e-08
2016213_Clinton vs. Trump,40.24586,38.50662333333333,Clinton vs. Trump,2016-02-13,1.0517400489467669e-08
2016214_Clinton vs. Trump,41.13602,37.831543333333336,Clinton vs. Trump,2016-02-14,1.1050659355591922e-08
2016215_Clinton vs. Trump,42.24645777777778,42.50544444444444,Clinton vs. Trump,2016-02-15,3.7020051840742103e-06
2016216_Clinton vs. Trump,43.495267142857145,43.16623476190476,Clinton vs. Trump,2016-02-16,1.3886546189476663e-05
2016217_Clinton vs. Trump,45.29197833333333,40.66735,Clinton vs. Trump,2016-02-17,1.2124288441435012e-06
2016218_Clinton vs. Trump,42.19336666666667,37.61804333333333,Clinton vs. Trump,2016-02-18,1.9134794439439938e-08
2016219_Clinton vs. Trump,42.426395,40.11371833333333,Clinton vs. Trump,2016-02-19,4.685687938972787e-06
201621_Clinton vs. Trump,43.92683666666667,35.24251,Clinton vs. Trump,2016-02-01,9.311935254786951e-09
2016220_Clinton vs. Trump,38.97882111111111,41.23314,Clinton vs. Trump,2016-02-20,2.8085204941454973e-06
2016221_Clinton vs. Trump,43.049778333333336,38.52193833333333,Clinton vs. Trump,2016-02-21,2.407666160473456e-08
2016222_Clinton vs. Trump,37.643481666666666,46.027955,Clinton vs. Trump,2016-02-22,4.853773431381186e-05
2016223_Clinton vs. Trump,39.23186833333333,42.18434666666666,Clinton vs. Trump,2016-02-23,1.2947059120810191e-05
2016224_Clinton vs. Trump,41.8392,37.65226666666667,Clinton vs. Trump,2016-02-24,1.997735965318968e-08
2016225_Clinton vs. Trump,42.12119166666667,42.737815000000005,Clinton vs. Trump,2016-02-25,2.2514487780940672e-08
2016226_Clinton vs. Trump,38.431605,42.77850333333333,Clinton vs. Trump,2016-02-26,5.456909087678678e-07
2016227_Clinton vs. Trump,44.73489833333333,42.475273333333334,Clinton vs. Trump,2016-02-27,4.069798260142871e-06
2016228_Clinton vs. Trump,45.41140222222222,39.65714777777778,Clinton vs. Trump,2016-02-28,1.3365309535721277e-06
2016229_Clinton vs. Trump,43.66723166666666,38.964025,Clinton vs. Trump,2016-02-29,4.1793779265930534e-06
201622_Clinton vs. Trump,44.61781,35.06664333333333,Clinton vs. Trump,2016-02-02,9.944878353259408e-09
201623_Clinton vs. Trump,48.05676444444444,37.59436,Clinton vs. Trump,2016-02-03,9.395268874940258e-07
