retweets_clinton,favorites_clinton,tw_count_cl,fecha,retweets_trump,favorites_trump,tw_count_tr,adjpoll_clinton,adjpoll_trump,index_weighted
79592.0,224508.0,25.0,2016-06-10,81179,199387,13,44.847711333333336,42.21428783333333,2.0916704224345133
29341.0,67050.0,10.0,2016-06-11,56825,177564,10,44.51110579710144,42.87103826086956,1.7608204598377235
45452.0,114736.0,11.0,2016-06-12,134292,363357,8,42.276658833333336,42.08151408333333,4.7354911860864295
65880.0,169117.0,18.0,2016-06-13,69732,198264,12,42.817695394736845,42.8477383245614,3.4499601955955383
69520.0,165783.0,27.0,2016-06-14,73883,182484,6,43.41401948717949,42.50522042490843,5.722921873694354
43675.0,112765.0,16.0,2016-06-15,40424,124907,8,41.83099186274509,43.49215362745098,3.416092521627484
37011.0,89967.0,12.0,2016-06-16,20348,58283,6,42.18451267676768,42.8507969949495,3.367716153242222
61141.0,143067.0,10.0,2016-06-17,45608,142400,11,43.752296666666666,44.63506944444444,0.478208773181362
20064.0,61844.0,7.0,2016-06-18,39138,122554,9,44.76201487179487,42.17916230769231,0.9852915224914882
22569.0,122173.0,10.0,2016-06-19,13463,41968,2,43.41454205426356,42.30500258527132,19.60358725920456
51014.0,97199.0,21.0,2016-06-02,79229,249634,25,41.57325469135802,41.696260070987655,30.385592750189904
19096.0,55184.0,11.0,2016-06-20,6399,24928,1,44.49629230769231,41.00572235897436,0.2586276904535617
156465.0,288295.0,31.0,2016-06-21,112465,285877,14,45.16873844444444,42.49260155555555,0.530644701480359
74904.0,164760.0,28.0,2016-06-22,35293,91615,6,44.57136696969697,42.63155727272727,0.3219085403351432
55796.0,127541.0,21.0,2016-06-23,78054,217218,15,42.34511972677596,43.20478191256831,0.6729384458127187
38591.0,82476.0,13.0,2016-06-24,90527,250899,13,45.12935523809524,41.89201571428572,0.3102252790820207
14254.0,34744.0,7.0,2016-06-25,45957,151513,9,44.54029722222222,41.98508,0.0366034326137721
37440.0,106880.0,21.0,2016-06-26,75838,218773,15,42.91898068627451,41.85680352941177,0.5215502916635967
53269.0,136045.0,31.0,2016-06-27,17931,58272,3,42.54113,43.22254833333333,3.243880400761889e-06
29074.0,70238.0,16.0,2016-06-28,59956,178280,13,40.9615,34.134980000000006,2.4797767204161882e-09
24377.0,55158.0,16.0,2016-06-29,41097,128221,10,38.28806,49.79203666666667,2.8663011232177687e-06
53188.0,99361.0,19.0,2016-06-03,62561,173001,13,45.71399666666667,39.103946666666666,2.2706011875930453e-07
25984.0,62314.0,13.0,2016-06-30,41196,115585,9,41.34534,35.704683333333335,3.1195761756023704e-09
30210.0,63445.0,16.0,2016-06-04,37653,93554,7,41.539323333333336,36.42837,3.424280370915402e-09
24368.0,53400.0,10.0,2016-06-05,21138,59666,3,42.53500666666667,35.051186666666666,3.5017248639030467e-09
20988.0,47937.0,10.0,2016-06-06,60871,169808,11,43.44609,39.605873333333335,1.5525726716436598e-08
58413.0,113521.0,15.0,2016-06-07,23835,78692,8,43.78279333333333,40.87931222222223,6.572751457392669e-07
175047.0,454446.0,36.0,2016-06-08,55831,183585,18,40.43690333333333,40.90974833333333,3.6320334295453452e-09
570487.0,864183.0,20.0,2016-06-09,200769,433474,8,35.90445333333333,39.98701333333333,6.213232634059519e-11
15071.0,34744.0,9.0,2016-07-01,52429,150114,11,41.23672333333334,41.56694666666667,2.2767599036525773e-06
13501.0,34171.0,6.0,2016-07-10,41706,129847,4,39.51153,39.47201333333334,3.914743508027681e-09
19130.0,40599.0,12.0,2016-07-11,29347,86906,6,39.103586666666665,40.497456666666665,4.13929009876953e-09
85203.0,227607.0,38.0,2016-07-12,127002,316987,14,40.39622666666667,39.32158333333333,4.187010268827672e-09
39198.0,100335.0,31.0,2016-07-13,82331,252479,14,45.28850083333333,41.1487975,4.672351823745817e-07
42477.0,101943.0,27.0,2016-07-14,64256,186832,6,44.27950666666666,34.27171,4.8315960932237035e-09
49237.0,74205.0,16.0,2016-07-15,54138,155314,4,44.73853,37.52022777777778,1.3974673125669925e-07
60726.0,107073.0,15.0,2016-07-16,59946,207633,11,43.966853333333326,34.922356666666666,5.7660706415495075e-09
10742.0,24685.0,5.0,2016-07-17,99792,301630,12,42.85993,35.847096666666665,6.172025094512075e-09
58058.0,131507.0,31.0,2016-07-18,39150,152462,7,43.55186666666666,36.07129333333333,7.764317109315894e-09
79357.0,155351.0,30.0,2016-07-19,56672,184754,5,41.40015,34.71246,2.742575386714522e-10
9814.0,27888.0,5.0,2016-07-02,74548,196872,11,44.24447666666666,35.394693333333336,8.732295152069848e-09
108938.0,197137.0,30.0,2016-07-20,208440,632140,19,44.435366666666674,35.31899333333333,9.208664788164006e-09
94255.0,166944.0,37.0,2016-07-21,55719,209618,8,40.49585,34.23791,7.445872586208148e-10
234939.0,437610.0,55.0,2016-07-22,62049,204275,8,40.69155,34.66335333333333,1.6273470006557967e-09
156576.0,396863.0,58.0,2016-07-23,112152,329282,14,39.68725333333333,35.48881,2.5257789861530532e-09
26926.0,53985.0,12.0,2016-07-24,137270,435186,17,43.59626333333333,35.41275666666667,2.684927124931642e-09
65424.0,168149.0,27.0,2016-07-25,206669,646764,22,42.49967083333333,43.0379025,2.273699817544385e-07
232077.0,619006.0,79.0,2016-07-26,130309,440295,16,39.074243333333335,37.26427666666667,2.676715484140428e-09
132786.0,403467.0,69.0,2016-07-27,201994,599101,19,38.981405,32.510905,1.6136269374464908e-06
241945.0,697361.0,111.0,2016-07-28,169778,459233,16,42.86702666666667,36.13791666666666,9.741418602044908e-09
437644.0,1324246.0,100.0,2016-07-29,198841,592188,26,41.35895,36.76307333333333,9.876598196733532e-09
17104.0,44797.0,6.0,2016-07-03,52303,153120,8,40.85236,37.58384333333333,1.0365997454012332e-08
60514.0,206069.0,19.0,2016-07-30,165933,512149,22,40.24586,38.50662333333333,1.0517400489467668e-08
42703.0,123297.0,11.0,2016-07-31,59925,183709,5,41.13602,37.831543333333336,1.1050659355591922e-08
12469.0,36533.0,6.0,2016-07-04,79496,237064,13,42.24645777777778,42.50544444444444,3.7020051840742095e-06
51385.0,144039.0,31.0,2016-07-05,97298,263504,10,43.495267142857145,43.16623476190476,1.3886546189476663e-05
48525.0,106111.0,28.0,2016-07-06,87531,232630,12,45.29197833333333,40.66735,1.2124288441435012e-06
69475.0,151983.0,10.0,2016-07-07,37292,119897,6,42.19336666666667,37.61804333333333,1.9134794439439935e-08
47636.0,127891.0,18.0,2016-07-08,58937,187167,5,42.426395,40.11371833333333,4.685687938972787e-06
14261.0,36351.0,6.0,2016-07-09,12015,40404,2,43.92683666666667,35.24251,9.311935254786951e-09
49812.0,108947.0,13.0,2016-08-01,185375,527385,24,38.97882111111111,41.23314,2.8085204941454973e-06
44040.0,109319.0,19.0,2016-08-10,92277,269069,13,43.049778333333336,38.52193833333333,2.4076661604734563e-08
88040.0,243295.0,41.0,2016-08-11,33292,92071,5,37.643481666666666,46.027955,4.853773431381186e-05
47227.0,104525.0,15.0,2016-08-12,57752,179583,8,39.23186833333333,42.18434666666666,1.2947059120810191e-05
12533.0,36384.0,6.0,2016-08-13,44668,150342,7,41.8392,37.65226666666667,1.9977359653189682e-08
8221.0,28728.0,3.0,2016-08-14,112709,343441,10,42.12119166666667,42.737815000000005,2.2514487780940672e-08
69757.0,183495.0,44.0,2016-08-15,24673,49010,3,38.431605,42.77850333333333,5.456909087678678e-07
32338.0,88693.0,14.0,2016-08-16,37074,99118,7,44.73489833333333,42.47527333333333,4.069798260142871e-06
27742.0,71840.0,15.0,2016-08-17,50530,142190,8,45.41140222222222,39.65714777777778,1.3365309535721275e-06
38088.0,93131.0,16.0,2016-08-18,47557,102723,4,43.66723166666666,38.964025,4.179377926593053e-06
51799.0,134669.0,16.0,2016-08-19,85242,251383,9,44.61781,35.06664333333333,9.944878353259408e-09
72933.0,169562.0,16.0,2016-08-02,103043,254693,10,48.05676444444444,37.59436,9.395268874940258e-07
26663.0,55234.0,9.0,2016-08-20,46673,154893,9,42.93602222222222,40.77421777777778,2.834305282405416e-06
28153.0,69342.0,9.0,2016-08-21,40562,122886,7,43.439915000000006,38.54165166666667,2.701734718570036e-06
19599.0,43756.0,11.0,2016-08-22,47285,147370,9,43.71289444444445,39.76605333333333,7.766303715964513e-06
34388.0,72069.0,16.0,2016-08-23,64365,186899,8,44.190575555555554,40.32687222222222,1.960164062803325e-05
37716.0,107295.0,12.0,2016-08-24,55154,177261,10,43.37989,35.58992,9.007737565105025e-09
127870.0,263963.0,46.0,2016-08-25,93646,241981,12,45.47421666666667,33.61337,9.578072352748545e-09
73026.0,196611.0,16.0,2016-08-26,93829,244995,14,43.83734904761905,41.21613,0.0002009760759776
14148.0,28098.0,6.0,2016-08-27,64766,185517,10,40.49714111111111,38.57530666666666,2.725670488766221e-05
25082.0,56520.0,8.0,2016-08-28,40654,122539,5,41.188161666666666,41.322,5.91533865039913e-07
28083.0,58927.0,12.0,2016-08-29,85128,226428,13,43.30588333333333,39.89910666666666,1.1849903077310893e-07
55554.0,144814.0,16.0,2016-08-03,53872,168389,6,39.23822,39.93445666666667,5.2921016386725e-08
29259.0,66228.0,13.0,2016-08-30,49704,145879,6,38.00068,37.58116,5.5633684687000384e-08
84403.0,143107.0,28.0,2016-08-31,52696,148758,6,46.73784333333333,36.8521,6.747877668750964e-06
47704.0,139562.0,16.0,2016-08-04,58921,177687,8,44.14848222222222,39.999274444444445,3.86354974124547e-06
61647.0,167164.0,24.0,2016-08-05,67376,176415,8,42.75765166666667,40.99510333333333,9.842549318551948e-08
48339.0,114173.0,12.0,2016-08-06,80377,245035,8,38.14059,40.97935666666667,6.088444761788094e-08
36729.0,109538.0,14.0,2016-08-07,33216,97807,4,40.770285,37.22016166666666,6.547620820791976e-08
77191.0,177765.0,25.0,2016-08-08,62145,183962,12,44.31016888888889,40.723283888888886,4.7001891152549695e-05
36542.0,85641.0,8.0,2016-08-09,68450,198638,9,43.606165,41.97098583333334,1.1277670426874803e-05
75998.0,164588.0,23.0,2016-09-01,80274,203606,8,45.87927866666666,38.20986066666667,4.879157560606412e-05
89784.0,177408.0,10.0,2016-09-10,85458,272543,10,47.24163888888889,36.52870111111111,6.728139914602348e-05
33208.0,74444.0,6.0,2016-09-11,9682,22000,1,45.280716,39.426078,0.0001268353610422
65048.0,163529.0,15.0,2016-09-12,26855,102467,6,41.90373,37.42008,7.371640806843333e-08
99842.0,220924.0,41.0,2016-09-13,61867,167813,10,43.99796555555556,40.70288222222222,6.205832881100109e-06
128232.0,220355.0,41.0,2016-09-14,56486,179288,11,43.65033333333333,36.347636666666666,8.435680512976975e-08
67025.0,138785.0,34.0,2016-09-15,45663,145195,11,44.655335,38.149645,1.1155797425474465e-07
212530.0,477133.0,66.0,2016-09-16,38348,121486,6,47.51962222222223,37.53135333333333,0.0001404363702119
46552.0,106086.0,14.0,2016-09-17,73713,232874,11,42.84811833333333,38.37903666666667,8.303594134370317e-06
53698.0,115201.0,18.0,2016-09-18,48929,145835,4,46.070771666666666,40.72915,0.0003623790143052
93754.0,227461.0,40.0,2016-09-19,71499,200278,10,46.19312166666666,38.742595,5.624279469712123e-05
40697.0,91941.0,12.0,2016-09-02,35023,108471,5,49.63909,37.78259888888888,0.0001355747010699
67658.0,125442.0,15.0,2016-09-20,71449,210970,8,39.111783333333335,38.28554833333333,3.994975962068024e-07
50179.0,107517.0,29.0,2016-09-21,60804,180707,8,42.656216666666666,34.22924666666666,3.461311237414397e-08
94553.0,180144.0,16.0,2016-09-22,17517,60304,4,45.844655,41.411824583333335,3.5593190353173575e-05
105636.0,181636.0,17.0,2016-09-23,38578,94094,5,42.34624333333333,32.44883,4.2522056098527766e-08
53592.0,111615.0,12.0,2016-09-24,56532,150171,6,43.35177333333333,32.56041666666667,4.858091715265123e-08
61019.0,123945.0,14.0,2016-09-25,53748,174033,6,44.45143,32.573613333333334,4.9725071225070474e-08
105907.0,185308.0,21.0,2016-09-26,222086,519918,22,53.791914,34.630198666666665,0.0009420060231251
870201.0,1667312.0,98.0,2016-09-27,235711,602691,25,45.13381916666666,38.44657083333333,0.0001339467205957
218.0,651.0,1.0,2016-09-28,56181,147056,10,47.28622833333333,38.960793333333335,1.3643023412137258e-05
26007.0,52479.0,8.0,2016-09-03,46500,129468,5,46.263355,39.61218333333333,1.2210602741856754e-05
14924.0,35609.0,5.0,2016-09-04,86591,262539,13,46.54372166666667,39.58074833333333,1.6388860128294872e-05
31682.0,75247.0,11.0,2016-09-05,40835,112505,6,44.46689222222222,39.19845222222222,6.268386246605132e-05
29551.0,68532.0,19.0,2016-09-06,84979,252580,13,39.458995,35.281565,3.536001902160667e-05
59368.0,119819.0,25.0,2016-09-07,35061,108862,5,49.73843,35.97035277777778,0.000321056081068
136785.0,312844.0,57.0,2016-09-08,99890,301214,14,43.82154,34.97533333333333,2.679645877192692e-07
39653.0,91081.0,15.0,2016-09-09,51192,145409,8,36.358756666666665,43.05139499999999,5.828277090665387e-06
,,,2009-10-14,11,10,1,43.45751333333333,34.41848666666667,1.6409688773488314e-07
,,,2009-10-22,6,5,1,46.88896583333334,40.97889666666666,4.164287187203287e-05
,,,2009-10-27,8,12,1,40.38883333333333,41.97300333333333,2.5231537681937337e-05
,,,2009-10-05,8,7,1,45.16629,40.40329333333333,5.33916088065103e-07
,,,2009-11-16,16,5,1,44.71987333333333,35.88315333333333,3.912528908442618e-07
,,,2009-11-02,12,12,1,44.70601166666666,39.62391833333333,3.769349467892743e-05
,,,2009-11-26,215,564,1,46.90206166666667,40.17379333333333,6.721116440098114e-06
,,,2009-12-23,221,234,1,41.01627555555555,39.62590888888889,3.929896165369096e-06
,,,2009-12-03,40,47,1,47.56965066666667,38.526124,0.0001249331205731
,,,2009-05-12,1404,1973,2,42.072966666666666,43.4015975,0.0012775901468274
,,,2009-05-13,15,16,1,45.27821166666666,41.191965,8.770066519627801e-07
,,,2009-05-14,18,27,1,44.84455333333333,36.14365166666666,6.325096982452103e-06
,,,2009-05-15,15,9,1,49.540995,37.56458833333333,5.751927362000926e-07
,,,2009-05-16,19,47,1,47.54681185185185,35.87386814814815,0.0005787464092349
,,,2009-05-17,40,69,1,47.73394,36.73071111111111,1.255395644160669e-07
,,,2009-05-18,74,122,1,37.90454833333333,38.379835,1.1481857700395655e-07
,,,2009-05-19,23,23,1,40.46124666666667,35.09309,1.2496315083415624e-07
,,,2009-05-20,38,62,2,47.34266416666667,38.48706833333333,0.0007854480234844
,,,2009-05-21,61,82,1,45.540235,37.30124833333333,3.990460039250815e-05
,,,2009-05-22,13,5,1,52.03577666666666,32.443315000000005,0.0008650501810453
,,,2009-05-23,58,79,1,39.558147777777776,44.79023111111111,3.139398204439708e-06
,,,2009-05-26,50,81,1,38.69068,43.374406666666665,0.0004690716442581
,,,2009-05-27,6,12,1,41.27435666666667,41.16437,0.0002736129797347
,,,2009-05-28,63,59,1,41.85368333333333,42.30535666666667,6.454580532537742e-05
,,,2009-05-04,544,1184,2,42.50094333333333,39.86929,7.213308745286737e-07
,,,2009-05-08,24,45,2,40.8843437037037,42.24083703703704,0.0010827804173948
,,,2009-06-14,26,32,1,45.29985833333333,39.7245675,0.0027126281598857
,,,2009-06-15,37,38,1,42.80566083333333,42.72694416666667,0.0001274679995833
,,,2009-06-18,19,15,1,42.02526111111112,41.50062666666666,0.0001236886983698
,,,2009-06-21,61,123,1,43.73998944444444,43.17410722222222,0.000756695061721
,,,2009-06-23,14,12,1,42.046545,44.610058333333335,0.0005936295011314
,,,2009-06-24,29,16,1,43.43150833333333,43.08917333333333,2.0479743476632847e-05
,,,2009-06-26,106,266,1,42.34551,37.86199666666667,1.0150064002427814e-06
,,,2009-06-03,15,20,1,46.22414666666667,41.04468428571428,0.0005887965238111
,,,2009-06-30,4,7,1,41.33793083333333,41.76465833333334,0.000109300757344
,,,2009-06-05,13,31,1,42.911903333333335,39.64185888888889,0.0012725102034657
,,,2009-06-08,10,3,1,43.28560333333333,42.561778333333336,0.0005390081297898
,,,2009-07-13,14,28,1,45.19136,37.73177111111111,7.142277035071319e-05
,,,2009-07-15,6,6,1,41.091791666666666,37.20021166666667,0.0006817863742782
,,,2009-07-22,9,10,1,43.72379,40.39103333333333,0.0002548224488884
,,,2009-07-28,30,27,1,46.257085,41.949668333333335,1.912114531172657e-06
,,,2009-07-04,22,27,1,46.1838,41.19592166666666,7.94873530091516e-07
,,,2009-08-11,27,25,1,43.54987083333333,42.80921833333333,0.0008733133953009
,,,2009-08-14,38,55,1,52.00413583333333,35.210769166666665,0.0067607594920284
,,,2009-08-20,4,9,1,45.59196666666667,37.778423333333336,4.7539513960734087e-07
,,,2009-08-21,14,5,1,38.86714166666667,44.76670166666667,0.0001279211800544
,,,2009-08-23,10,12,1,46.12776,37.48444111111111,0.0001120281731697
,,,2009-08-29,255,363,1,39.73511666666667,45.62750166666667,3.082781048596532e-05
,,,2009-08-04,34,18,1,43.59370666666666,37.609453333333335,6.177293988455145e-07
,,,2009-09-01,56,57,1,43.52134333333333,43.74225466666667,7.558868905650331e-07
,,,2009-09-14,29,35,1,42.96310133333333,40.53325866666667,0.0002654235045601
,,,2009-09-29,56,81,1,48.422937777777776,35.61789555555556,0.0002608572868964
,,,2010-10-01,18,12,1,45.09970666666667,33.90665666666666,3.072541641215601e-06
,,,2010-10-14,101,535,2,45.15754888888889,37.892950000000006,3.4910440989969347e-06
,,,2010-10-21,36,5,1,44.8494325,37.39426083333333,0.0010872215423345
,,,2010-10-27,43,7,1,39.62865333333333,38.62037333333333,0.0015114130103221
,,,2010-10-28,39,6,1,45.77514666666667,38.69568083333333,0.0017503859024427
,,,2010-10-06,42,10,1,46.418124166666665,39.886495833333335,0.0002007899142512
,,,2010-10-07,57,15,2,37.71537666666666,38.22173333333333,3.752458231789298e-06
,,,2010-11-11,28,5,1,44.841232857142856,42.608086666666665,0.0016892522860289
,,,2010-11-15,39,19,1,44.56760238095238,40.37405047619048,0.0010403399354053
,,,2010-11-18,59,20,2,38.27573,36.51813555555556,3.5001940832546666e-06
,,,2010-11-02,28,9,1,44.73294235294117,42.48807764705882,0.0042583233839793
,,,2010-11-22,30,19,1,43.267581904761904,41.39328761904762,0.0008296760443238
,,,2010-11-24,275,420,3,45.63160791666667,39.70150541666667,0.0052565698835027
,,,2010-11-29,34,9,1,44.471440666666666,42.05567766666666,0.0033898347178778
,,,2010-11-03,37,6,1,45.32340333333334,41.06497333333333,0.0040916981865469
,,,2010-11-04,38,16,1,46.45611,37.08667,5.253030215771582e-06
,,,2010-11-05,270,325,1,47.90045133333333,38.23932933333333,0.0009234903310999
,,,2010-12-01,8772,8145,1,45.45353444444444,40.33730444444444,0.0021096127656111
,,,2010-12-10,48,17,1,48.24675384615384,43.44882615384616,0.0067757578388322
,,,2010-12-13,66,38,3,44.390438095238096,38.57974857142857,0.0032106211296145
,,,2010-12-14,245,42,1,46.31574333333333,40.82161,0.0001833301404741
,,,2010-12-16,113,23,1,46.90495333333333,36.57855,6.503390598070101e-06
,,,2010-12-02,52,13,2,48.08893555555555,35.14010888888889,0.0023664405600397
,,,2010-12-23,7917,7475,1,38.810675,42.90551666666667,3.5492323306638783e-05
,,,2010-12-30,205,184,1,45.018923666666666,42.712048333333335,0.0026231184986841
,,,2010-12-09,59,12,1,46.41947,38.31065,0.0006222369029141
,,,2010-02-10,13,5,1,45.09089888888889,36.91759,0.0007018320936609
,,,2010-02-11,20,4,1,41.1970025,38.3900075,0.0021552834830809
,,,2010-02-26,31,24,1,44.956273333333336,36.31372666666667,2.370558264423677e-06
,,,2010-02-07,31,20,1,43.7096625,42.64081805555556,0.00983452824113
,,,2010-03-12,26,9,1,42.11159142857143,42.04170928571428,0.0071510163900543
,,,2010-03-15,28,7,1,44.24537083333333,39.61969583333333,0.007476379478505
,,,2010-03-17,17,10,1,43.95250933333333,41.206364666666666,0.0031443897095201
,,,2010-03-18,50,33,1,46.08683066666666,38.158168,0.0015124877789366
,,,2010-03-19,19,18,1,43.67715375,39.61947541666667,0.0127355825263646
,,,2010-03-23,21,11,1,43.73071296296296,41.19099666666666,0.0057952822616025
,,,2010-03-24,51,17,1,44.999856190476194,40.68176571428572,0.0245933392234685
,,,2010-03-29,32,34,1,43.56048933333333,41.03705733333333,0.0023572430147579
,,,2010-03-31,24,8,1,43.61589111111111,42.87320166666667,0.0349844444980739
,,,2010-03-05,11,10,1,45.726643333333335,37.77498666666667,9.168042600533137e-06
,,,2010-04-01,12,5,1,44.35940466666667,41.920768,0.0011624167070368
,,,2010-04-12,19,8,1,40.19300777777778,45.473437777777775,0.0050613970941729
,,,2010-04-13,93,45,1,44.27301,44.11967722222222,0.0015843022045849
,,,2010-04-14,34,20,1,43.13908,38.662335,0.002179323522221
,,,2010-04-16,16,9,1,43.07493145833333,44.511973958333336,0.0296517400617799
,,,2010-04-20,142,149,1,39.88809583333333,46.66508416666667,0.0003248078078533
,,,2010-04-21,3284,5189,1,44.939346666666665,42.72397,0.001430139148003
,,,2010-04-22,24,7,1,43.74320624999999,44.26207875,0.0047950692833974
,,,2010-04-23,29,4,1,43.28055666666667,43.607282222222224,5.364244899839622e-05
,,,2010-04-26,69,17,1,44.64630066666667,43.069336666666665,0.0067928888548467
,,,2010-04-28,15,11,1,49.23121166666667,33.639698333333335,0.0010398243768036
,,,2010-04-29,35,16,1,45.338565333333335,43.02139266666666,0.0018596791316015
,,,2010-04-30,22,9,1,45.541256,43.814830666666666,0.0080466750174123
,,,2010-04-06,46,25,3,44.801476666666666,40.63019833333333,1.1810110992093809e-05
,,,2010-04-07,16,3,1,45.16649555555556,41.41105555555556,5.839676737487666e-05
,,,2010-04-09,15,9,1,45.52432833333334,41.77307583333333,0.0011074646721053
,,,2010-05-13,23,7,1,43.69929333333333,41.73479222222223,0.0026611536763463
,,,2010-05-17,103,168,1,41.167856666666665,40.361775,0.0007137355246457
,,,2010-05-19,23,7,1,42.3456025,39.24473666666667,0.0099474680794898
,,,2010-05-20,60,49,2,44.30795166666667,37.83308,0.0044511218420501
,,,2010-05-21,21,22,1,44.84263,40.64891642857143,0.0454556528352417
,,,2010-05-24,58,19,1,44.332543888888885,45.05139388888889,0.0120567683013321
,,,2010-05-25,34,18,2,45.58933857142857,42.54488952380952,0.023948817316159
,,,2010-05-26,45,20,2,44.871834444444445,39.09969555555556,0.0147565503607579
,,,2010-05-27,711,1848,1,43.59642888888889,41.81197629629629,0.0229650435355856
,,,2010-05-28,56,43,1,46.97275904761905,42.007826190476194,0.0126107967288042
