unique_id_x,retweets,favorites,handle_x,fecha,adjpoll_clinton,adjpoll_trump,index_weighted
HillaryClinton_2016520,29224,59049,HillaryClinton,2016-05-20,40.51376,33.834763333333335,2.6735300215379253e-09
realDonaldTrump_2016520,71477,208172,realDonaldTrump,2016-05-20,40.51376,33.834763333333335,2.6735300215379253e-09
HillaryClinton_2016521,14600,27870,HillaryClinton,2016-05-21,41.10875333333333,33.86156666666667,2.4105300610361262e-09
realDonaldTrump_2016521,91031,196222,realDonaldTrump,2016-05-21,41.10875333333333,33.86156666666667,2.4105300610361262e-09
HillaryClinton_2016522,12435,31365,HillaryClinton,2016-05-22,47.16302,40.30889,3.8347468661498833e-08
realDonaldTrump_2016522,56502,154899,realDonaldTrump,2016-05-22,47.16302,40.30889,3.8347468661498833e-08
HillaryClinton_2016523,15326,34639,HillaryClinton,2016-05-23,45.690866666666665,42.629176666666666,1.061699751855083e-07
realDonaldTrump_2016523,37538,115117,realDonaldTrump,2016-05-23,45.690866666666665,42.629176666666666,1.061699751855083e-07
HillaryClinton_2016524,23406,43729,HillaryClinton,2016-05-24,41.06328333333334,46.38348333333334,5.567871063951573e-10
realDonaldTrump_2016524,37967,104226,realDonaldTrump,2016-05-24,41.06328333333334,46.38348333333334,5.567871063951573e-10
HillaryClinton_2016525,22806,45392,HillaryClinton,2016-05-25,49.26058333333333,46.796776666666666,9.888049075474022e-09
realDonaldTrump_2016525,50736,163823,realDonaldTrump,2016-05-25,49.26058333333333,46.796776666666666,9.888049075474022e-09
HillaryClinton_2016526,21110,41227,HillaryClinton,2016-05-26,44.511536666666665,42.16751,5.079789666015683e-07
realDonaldTrump_2016526,40807,130267,realDonaldTrump,2016-05-26,44.511536666666665,42.16751,5.079789666015683e-07
HillaryClinton_2016527,14512,25433,HillaryClinton,2016-05-27,43.18304153846154,42.56979307692308,1.0602640537554564
realDonaldTrump_2016527,28433,89157,realDonaldTrump,2016-05-27,43.18304153846154,42.56979307692308,1.0602640537554564
HillaryClinton_2016528,9208,18457,HillaryClinton,2016-05-28,42.00133066666667,41.981718,1.2729870577048876
realDonaldTrump_2016528,45364,137448,realDonaldTrump,2016-05-28,42.00133066666667,41.981718,1.2729870577048876
HillaryClinton_2016529,6436,18020,HillaryClinton,2016-05-29,42.660592666666666,43.38562566666667,1.1706985162877337
realDonaldTrump_2016529,35674,110042,realDonaldTrump,2016-05-29,42.660592666666666,43.38562566666667,1.1706985162877337
HillaryClinton_201653,21121,46861,HillaryClinton,2016-05-03,42.480639601990056,42.53530333333333,1.6938886245283682
realDonaldTrump_201653,56109,171554,realDonaldTrump,2016-05-03,42.480639601990056,42.53530333333333,1.6938886245283682
HillaryClinton_2016530,10891,23527,HillaryClinton,2016-05-30,41.94061323076923,40.65890830769231,0.9043647524105324
realDonaldTrump_2016530,47174,161717,realDonaldTrump,2016-05-30,41.94061323076923,40.65890830769231,0.9043647524105324
HillaryClinton_2016531,13073,26428,HillaryClinton,2016-05-31,43.610562549019605,42.38706647058823,1.0878631200932505
realDonaldTrump_2016531,37346,126567,realDonaldTrump,2016-05-31,43.610562549019605,42.38706647058823,1.0878631200932505
HillaryClinton_201654,62075,121719,HillaryClinton,2016-05-04,43.63706070707071,41.5621705050505,1.2284416132818392
realDonaldTrump_201654,25034,79032,realDonaldTrump,2016-05-04,43.63706070707071,41.5621705050505,1.2284416132818392
HillaryClinton_201655,39537,64357,HillaryClinton,2016-05-05,44.21216428571429,42.62833166666667,0.9870458439317844
realDonaldTrump_201655,126764,236776,realDonaldTrump,2016-05-05,44.21216428571429,42.62833166666667,0.9870458439317844
HillaryClinton_201656,20112,31998,HillaryClinton,2016-05-06,43.55721122807017,41.80948736842105,1.478534700863202
realDonaldTrump_201656,91430,272364,realDonaldTrump,2016-05-06,43.55721122807017,41.80948736842105,1.478534700863202
HillaryClinton_201657,21401,39034,HillaryClinton,2016-05-07,41.95727347826087,42.064727777777776,1.3367778007664757
realDonaldTrump_201657,24556,73339,realDonaldTrump,2016-05-07,41.95727347826087,42.064727777777776,1.3367778007664757
HillaryClinton_201658,7788,27106,HillaryClinton,2016-05-08,43.86522388888889,42.42498388888889,0.0733506633752596
realDonaldTrump_201658,21763,74349,realDonaldTrump,2016-05-08,43.86522388888889,42.42498388888889,0.0733506633752596
HillaryClinton_201659,10518,19391,HillaryClinton,2016-05-09,42.14965989417989,43.69179634920635,1.0623411096471491
realDonaldTrump_201659,56639,171453,realDonaldTrump,2016-05-09,42.14965989417989,43.69179634920635,1.0623411096471491
HillaryClinton_201661,43588,67677,HillaryClinton,2016-06-01,40.34279303030303,45.33018575757576,0.8475412948980685
realDonaldTrump_201661,25844,79408,realDonaldTrump,2016-06-01,40.34279303030303,45.33018575757576,0.8475412948980685
HillaryClinton_2016610,79592,224508,HillaryClinton,2016-06-10,44.847711333333336,42.21428783333333,2.0916704224345133
realDonaldTrump_2016610,81179,199387,realDonaldTrump,2016-06-10,44.847711333333336,42.21428783333333,2.0916704224345133
HillaryClinton_2016611,29341,67050,HillaryClinton,2016-06-11,44.51110579710144,42.87103826086956,1.7608204598377235
realDonaldTrump_2016611,56825,177564,realDonaldTrump,2016-06-11,44.51110579710144,42.87103826086956,1.7608204598377235
HillaryClinton_2016612,45452,114736,HillaryClinton,2016-06-12,42.276658833333336,42.08151408333333,4.7354911860864295
realDonaldTrump_2016612,134292,363357,realDonaldTrump,2016-06-12,42.276658833333336,42.08151408333333,4.7354911860864295
